age,Height,Weight
0~3Months,59.1,5.9
3~6Months,66.7,8
6~9Months,71.4,8.9
9~12Months,75,10.1
12~18Months,80.1,10.9
2Year,87.8,13.2
3Year,95.2,14.8
4Year,102.3,16.7
5Year,109,19.1
6Year,115.5,21.5
7Year,122,24.9
8Year,127.8,28.5
9Year,133.3,32.3
10Year,138,35.4
11Year,144.9,41.5
12Year,150.7,45.2
13Year,158.2,51
14Year,164.7,57.1
15Year,169.2,61.7
16Year,170.3,63.4
17Year,172.5,65.2
18Year,172.9,67.4
19Year,173.4,68.3
20~24Year,173.8,69.5
25~29Year,172.5,70.1
30~34Year,171.3,71.5
35~39Year,170.7,72.3
40~49Year,168.6,70.6
50~59Year,166.1,69.1
60~69Year,164.4,65.9
70YearOver,162.4,61.1